Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,Tergel Khurelkhuu,First,John Nelson,1,20,WON,59,57,60,105,80,100,40,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,John Nelson,Second,Tergel Khurelkhuu,1,18,LOST,57,96,85,99,60,72,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,Tergel Khurelkhuu,Second,John Nelson,2,15,LOST,140,94,41,59,99,,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,John Nelson,First,Tergel Khurelkhuu,2,18,WON,97,140,66,80,80,38,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,Tergel Khurelkhuu,First,John Nelson,3,18,LOST,96,100,80,42,40,91,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,John Nelson,Second,Tergel Khurelkhuu,3,16,WON,180,82,99,92,16,32,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,Tergel Khurelkhuu,Second,John Nelson,4,18,WON,140,49,140,84,54,34,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,John Nelson,First,Tergel Khurelkhuu,4,18,LOST,81,100,59,91,72,38,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,Tergel Khurelkhuu,First,John Nelson,5,11,WON,180,180,91,50,,,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,John Nelson,Second,Tergel Khurelkhuu,5,9,LOST,85,96,55,,,,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,Tergel Khurelkhuu,Second,John Nelson,6,12,LOST,100,180,100,81,,,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,John Nelson,First,Tergel Khurelkhuu,6,15,WON,88,48,140,140,85,,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,Tergel Khurelkhuu,First,John Nelson,7,15,WON,45,100,96,140,120,,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,John Nelson,Second,Tergel Khurelkhuu,7,12,LOST,89,180,65,47,,,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,Tergel Khurelkhuu,Second,John Nelson,8,15,LOST,39,96,100,81,100,,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,John Nelson,First,Tergel Khurelkhuu,8,18,WON,58,55,60,140,140,48,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,Tergel Khurelkhuu,First,John Nelson,9,21,WON,84,81,97,41,92,56,50,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,John Nelson,Second,Tergel Khurelkhuu,9,18,LOST,115,45,60,180,69,16,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,Tergel Khurelkhuu,Second,John Nelson,10,17,WON,97,44,140,60,100,60,,,,
Wood Green,,,21/02/2025,Final,https://www.dartsatlas.com/matches/dlFSP1jqesj6,John Nelson,First,Tergel Khurelkhuu,10,18,LOST,95,98,74,134,90,2,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/RkTirMGRf2eC,Tergel Khurelkhuu,First,John Mcdermott,1,16,WON,180,83,95,99,34,10,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/RkTirMGRf2eC,John Mcdermott,Second,Tergel Khurelkhuu,1,15,LOST,40,45,81,28,77,,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/RkTirMGRf2eC,Tergel Khurelkhuu,Second,John Mcdermott,2,15,LOST,100,140,100,81,60,,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/RkTirMGRf2eC,John Mcdermott,First,Tergel Khurelkhuu,2,17,WON,100,45,135,43,138,40,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/RkTirMGRf2eC,Tergel Khurelkhuu,First,John Mcdermott,3,17,WON,81,100,58,130,107,25,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/RkTirMGRf2eC,John Mcdermott,Second,Tergel Khurelkhuu,3,15,LOST,100,11,140,100,90,,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/RkTirMGRf2eC,Tergel Khurelkhuu,Second,John Mcdermott,4,22,WON,41,100,43,140,64,73,0,40,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/RkTirMGRf2eC,John Mcdermott,First,Tergel Khurelkhuu,4,24,LOST,44,41,23,41,100,59,99,62,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/RkTirMGRf2eC,Tergel Khurelkhuu,First,John Mcdermott,5,18,WON,60,82,121,140,83,15,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/RkTirMGRf2eC,John Mcdermott,Second,Tergel Khurelkhuu,5,15,LOST,24,41,60,100,24,,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/RkTirMGRf2eC,Tergel Khurelkhuu,Second,John Mcdermott,6,21,WON,180,59,40,105,77,20,20,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/RkTirMGRf2eC,John Mcdermott,First,Tergel Khurelkhuu,6,21,LOST,41,85,81,81,23,45,77,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,Charlie Green,First,John Nelson,1,20,WON,60,82,45,26,140,140,8,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,John Nelson,Second,Charlie Green,1,18,LOST,100,78,45,85,100,65,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,Charlie Green,Second,John Nelson,2,20,WON,58,85,81,57,60,100,60,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,John Nelson,First,Charlie Green,2,21,LOST,84,46,99,82,140,34,12,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,Charlie Green,First,John Nelson,3,16,WON,69,45,140,100,131,16,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,John Nelson,Second,Charlie Green,3,15,LOST,45,58,60,139,171,,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,Charlie Green,Second,John Nelson,4,12,LOST,49,135,81,48,,,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,John Nelson,First,Charlie Green,4,15,WON,180,59,92,96,74,,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,Charlie Green,First,John Nelson,5,18,LOST,100,45,140,60,67,84,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,John Nelson,Second,Charlie Green,5,17,WON,99,140,56,60,98,48,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,Charlie Green,Second,John Nelson,6,18,LOST,100,100,60,59,58,41,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,John Nelson,First,Charlie Green,6,21,WON,99,80,85,45,97,55,40,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,Charlie Green,First,John Nelson,7,18,LOST,41,97,100,140,59,24,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,John Nelson,Second,Charlie Green,7,17,WON,134,81,29,81,100,76,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,Charlie Green,Second,John Nelson,8,18,LOST,58,82,6,100,83,43,,,,
Wood Green,,,21/02/2025,Semi-Final,https://www.dartsatlas.com/matches/Y2z3g2wYFl1j,John Nelson,First,Charlie Green,8,21,WON,134,100,59,41,59,76,32,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/gUrhvA9mUw8t,Odbileg Khayankhyarvaa,Second,Tergel Khurelkhuu,1,18,LOST,85,41,100,60,45,40,,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/gUrhvA9mUw8t,Tergel Khurelkhuu,First,Odbileg Khayankhyarvaa,1,20,WON,140,85,139,111,20,0,6,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/gUrhvA9mUw8t,Odbileg Khayankhyarvaa,First,Tergel Khurelkhuu,2,21,LOST,140,100,85,24,140,6,0,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/gUrhvA9mUw8t,Tergel Khurelkhuu,Second,Odbileg Khayankhyarvaa,2,19,WON,43,140,100,100,58,50,10,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/gUrhvA9mUw8t,Odbileg Khayankhyarvaa,Second,Tergel Khurelkhuu,3,15,LOST,26,52,59,140,95,,,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/gUrhvA9mUw8t,Tergel Khurelkhuu,First,Odbileg Khayankhyarvaa,3,16,WON,100,60,44,140,139,18,,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/gUrhvA9mUw8t,Odbileg Khayankhyarvaa,First,Tergel Khurelkhuu,4,21,LOST,85,40,41,40,41,60,81,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/gUrhvA9mUw8t,Tergel Khurelkhuu,Second,Odbileg Khayankhyarvaa,4,19,WON,54,100,140,81,54,60,12,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/5SOku7uSTM5w,JJ Jameson,Second,John Mcdermott,1,19,WON,60,100,85,45,140,39,32,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/5SOku7uSTM5w,John Mcdermott,First,JJ Jameson,1,21,LOST,45,66,100,60,24,27,43,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/5SOku7uSTM5w,JJ Jameson,First,John Mcdermott,2,21,LOST,77,85,47,13,26,100,99,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/5SOku7uSTM5w,John Mcdermott,Second,JJ Jameson,2,19,WON,100,140,60,26,95,60,20,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/5SOku7uSTM5w,JJ Jameson,Second,John Mcdermott,3,21,LOST,44,30,21,55,81,100,43,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/5SOku7uSTM5w,John Mcdermott,First,JJ Jameson,3,23,WON,22,140,41,40,52,80,76,50,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/5SOku7uSTM5w,JJ Jameson,First,John Mcdermott,4,21,LOST,60,26,44,40,40,100,97,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/5SOku7uSTM5w,John Mcdermott,Second,JJ Jameson,4,21,WON,45,41,100,45,86,80,104,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/5SOku7uSTM5w,JJ Jameson,Second,John Mcdermott,5,21,LOST,48,44,100,60,60,45,30,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/5SOku7uSTM5w,John Mcdermott,First,JJ Jameson,5,23,WON,27,100,95,81,28,60,74,36,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/TdCXYffZLaXr,Nick Holman,Second,Charlie Green,1,21,LOST,83,140,100,60,44,49,21,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/TdCXYffZLaXr,Charlie Green,First,Nick Holman,1,24,WON,140,66,59,60,58,58,40,20,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/TdCXYffZLaXr,Nick Holman,First,Charlie Green,2,18,LOST,81,100,41,60,43,140,,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/TdCXYffZLaXr,Charlie Green,Second,Nick Holman,2,18,WON,92,58,140,100,71,40,,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/TdCXYffZLaXr,Nick Holman,Second,Charlie Green,3,21,LOST,100,100,100,85,28,36,20,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/TdCXYffZLaXr,Charlie Green,First,Nick Holman,3,23,WON,100,11,70,86,134,23,72,5,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/TdCXYffZLaXr,Nick Holman,First,Charlie Green,4,21,LOST,58,39,41,140,49,38,101,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/TdCXYffZLaXr,Charlie Green,Second,Nick Holman,4,19,WON,25,59,140,45,180,24,28,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/PeYMJz7dqMbK,Shane Edwards,Second,John Nelson,1,18,LOST,42,46,99,40,44,45,,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/PeYMJz7dqMbK,John Nelson,First,Shane Edwards,1,21,WON,85,59,134,85,45,65,28,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/PeYMJz7dqMbK,Shane Edwards,First,John Nelson,2,13,WON,100,125,115,123,38,,,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/PeYMJz7dqMbK,John Nelson,Second,Shane Edwards,2,12,LOST,99,80,99,59,,,,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/PeYMJz7dqMbK,Shane Edwards,Second,John Nelson,3,12,LOST,85,32,120,74,,,,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/PeYMJz7dqMbK,John Nelson,First,Shane Edwards,3,15,WON,96,125,85,76,119,,,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/PeYMJz7dqMbK,Shane Edwards,First,John Nelson,4,18,LOST,100,40,55,89,85,10,,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/PeYMJz7dqMbK,John Nelson,Second,Shane Edwards,4,16,WON,46,139,99,137,60,20,,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/PeYMJz7dqMbK,Shane Edwards,Second,John Nelson,5,18,LOST,95,45,41,60,60,140,,,,
Wood Green,,,21/02/2025,Quarter-Final,https://www.dartsatlas.com/matches/PeYMJz7dqMbK,John Nelson,First,Shane Edwards,5,20,WON,100,60,59,44,98,92,48,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/jzbSFlM85vOx,Odbileg Khayankhyarvaa,Second,Jo Deamer,1,20,WON,78,80,60,85,95,87,16,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/jzbSFlM85vOx,Jo Deamer,First,Odbileg Khayankhyarvaa,1,21,LOST,125,85,81,81,59,50,15,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/jzbSFlM85vOx,Odbileg Khayankhyarvaa,First,Jo Deamer,2,21,WON,55,100,59,55,85,99,48,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/jzbSFlM85vOx,Jo Deamer,Second,Odbileg Khayankhyarvaa,2,18,LOST,41,125,100,60,60,75,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/jzbSFlM85vOx,Odbileg Khayankhyarvaa,Second,Jo Deamer,3,21,LOST,100,43,60,29,59,60,43,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/jzbSFlM85vOx,Jo Deamer,First,Odbileg Khayankhyarvaa,3,24,WON,41,100,60,30,60,45,90,75,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/jzbSFlM85vOx,Odbileg Khayankhyarvaa,First,Jo Deamer,4,16,WON,99,83,100,85,110,24,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/jzbSFlM85vOx,Jo Deamer,Second,Odbileg Khayankhyarvaa,4,15,LOST,100,45,41,43,100,,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/14GRR9wwLAQZ,Tergel Khurelkhuu,First,George Mills,1,20,WON,98,100,100,100,47,46,10,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/14GRR9wwLAQZ,George Mills,Second,Tergel Khurelkhuu,1,18,LOST,100,22,41,41,85,83,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/14GRR9wwLAQZ,Tergel Khurelkhuu,Second,George Mills,2,19,WON,60,100,60,81,60,100,40,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/14GRR9wwLAQZ,George Mills,First,Tergel Khurelkhuu,2,21,LOST,41,81,41,44,28,22,59,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/14GRR9wwLAQZ,Tergel Khurelkhuu,First,George Mills,3,15,WON,140,140,57,56,108,,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/14GRR9wwLAQZ,George Mills,Second,Tergel Khurelkhuu,3,12,LOST,140,30,100,100,,,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/YOBotgT6IvNE,JJ Jameson,First,Steve Henry,1,22,WON,41,70,85,95,43,97,50,20,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/YOBotgT6IvNE,Steve Henry,Second,JJ Jameson,1,21,LOST,41,15,45,60,29,139,40,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/YOBotgT6IvNE,JJ Jameson,Second,Steve Henry,2,19,WON,60,95,140,140,17,9,40,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/YOBotgT6IvNE,Steve Henry,First,JJ Jameson,2,21,LOST,43,27,60,40,59,60,60,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/YOBotgT6IvNE,JJ Jameson,First,Steve Henry,3,23,WON,26,85,45,100,45,85,59,56,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/YOBotgT6IvNE,Steve Henry,Second,JJ Jameson,3,21,LOST,55,40,66,97,44,43,28,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/xNf0MB62qPGL,Matthew Poucher,First,John Mcdermott,1,30,LOST,45,81,41,30,22,85,17,30,60,7
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/xNf0MB62qPGL,John Mcdermott,Second,Matthew Poucher,1,28,WON,77,65,100,40,42,28,27,23,59,40
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/xNf0MB62qPGL,Matthew Poucher,Second,John Mcdermott,2,15,LOST,55,60,45,26,25,,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/xNf0MB62qPGL,John Mcdermott,First,Matthew Poucher,2,17,WON,100,32,85,125,97,62,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/xNf0MB62qPGL,Matthew Poucher,First,John Mcdermott,3,24,LOST,22,75,100,26,20,41,45,60,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/xNf0MB62qPGL,John Mcdermott,Second,Matthew Poucher,3,24,WON,45,23,83,26,22,81,140,81,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/675M3Af7FOkq,Nick Holman,First,Charlie Hardie,1,16,WON,100,30,140,100,99,32,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/675M3Af7FOkq,Charlie Hardie,Second,Nick Holman,1,15,LOST,100,27,5,40,30,,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/675M3Af7FOkq,Nick Holman,Second,Charlie Hardie,2,17,WON,140,140,60,60,93,8,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/675M3Af7FOkq,Charlie Hardie,First,Nick Holman,2,18,LOST,64,41,46,73,57,32,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/675M3Af7FOkq,Nick Holman,First,Charlie Hardie,3,23,WON,97,60,55,87,100,62,20,20,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/675M3Af7FOkq,Charlie Hardie,Second,Nick Holman,3,21,LOST,32,59,41,28,99,54,78,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/WgyNLm6JiikG,Kean Evans,Second,Charlie Green,1,15,LOST,100,81,60,60,60,,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/WgyNLm6JiikG,Charlie Green,First,Kean Evans,1,17,WON,66,45,140,100,96,54,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/WgyNLm6JiikG,Kean Evans,First,Charlie Green,2,18,LOST,60,44,60,60,60,26,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/WgyNLm6JiikG,Charlie Green,Second,Kean Evans,2,18,WON,77,45,140,100,41,98,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/WgyNLm6JiikG,Kean Evans,Second,Charlie Green,3,21,LOST,41,60,60,60,60,100,60,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/WgyNLm6JiikG,Charlie Green,First,Kean Evans,3,24,WON,125,60,60,100,45,39,32,40,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/2tZZfeKo0PLD,Ryan Smith,Second,Shane Edwards,1,21,LOST,30,125,41,51,36,15,96,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/2tZZfeKo0PLD,Shane Edwards,First,Ryan Smith,1,22,WON,45,59,100,30,60,57,132,18,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/2tZZfeKo0PLD,Ryan Smith,First,Shane Edwards,2,24,WON,60,77,100,132,82,15,3,32,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/2tZZfeKo0PLD,Shane Edwards,Second,Ryan Smith,2,21,LOST,96,45,26,58,140,40,56,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/2tZZfeKo0PLD,Ryan Smith,Second,Shane Edwards,3,12,LOST,134,26,100,46,,,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/2tZZfeKo0PLD,Shane Edwards,First,Ryan Smith,3,14,WON,38,140,100,180,43,,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/2tZZfeKo0PLD,Ryan Smith,First,Shane Edwards,4,21,LOST,78,15,81,43,36,44,29,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/2tZZfeKo0PLD,Shane Edwards,Second,Ryan Smith,4,21,WON,57,13,100,97,87,97,50,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/nk5XFEpYk0vL,John Nelson,First,Sean Lahiff,1,18,WON,60,60,140,96,39,106,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/nk5XFEpYk0vL,Sean Lahiff,Second,John Nelson,1,15,LOST,60,41,137,32,30,,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/nk5XFEpYk0vL,John Nelson,Second,Sean Lahiff,2,18,LOST,55,100,96,100,58,45,,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/nk5XFEpYk0vL,Sean Lahiff,First,John Nelson,2,20,WON,100,60,41,45,95,140,20,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/nk5XFEpYk0vL,John Nelson,First,Sean Lahiff,3,21,LOST,96,74,57,100,60,51,55,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/nk5XFEpYk0vL,Sean Lahiff,Second,John Nelson,3,21,WON,60,21,59,100,100,41,120,,,
Wood Green,,,21/02/2025,Last 16,https://www.dartsatlas.com/matches/nk5XFEpYk0vL,John Nelson,Second,Sean Lahiff,4,21,WON,60,58,95,81,100,41,66,,,
